12/2/2020 5:30:10 PM	00:3A:7D:27:B8:60	"Cisco Systems Inc."	"eduroam"	-75	45		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:27:B8:66	"Cisco Systems Inc."	"Guest Centre"	-75	45		"Ch 11 [2.462 GHz]"	"0 Stations, A-08-0-187, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:BD:4D:A6	"Cisco Systems Inc."	"Guest Centre"	-59	45		"Ch 6 [2.437 GHz]"	"2 Stations, A-08-0-120, 2 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:66:AC:D2	"Cisco Systems Inc."	"tudelft-dastud"	-73	45		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:66:AC:D1	"Cisco Systems Inc."	"TUvisitor"	-71	45		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:66:AC:D6	"Cisco Systems Inc."	"Guest Centre"	-72	45		"Ch 1 [2.412 GHz]"	"1 Station, A-08-0-036, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:61:F6:21	"Cisco Systems Inc."	"TUvisitor"	-74	45		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:BD:4D:A2	"Cisco Systems Inc."	"tudelft-dastud"	-76	45		"Ch 6 [2.437 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:61:F6:02	"Cisco Systems Inc."	"tudelft-dastud"	-76	45		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:BB:72	"Cisco Systems Inc."	"tudelft-dastud"	-73	55		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:50:7F:CE:1A:50	"DrayTek Corp."	""	-73	55		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E5:E2	"Cisco Systems Inc."	"tudelft-dastud"	-70	55		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:44:70:75	"Cisco Systems Inc."	"Delft Free Wifi"	-73	55		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:EF:52	"Cisco Systems Inc."	"tudelft-dastud"	-57	65		"Ch 6 [2.437 GHz]"	"3 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E5:E5	"Cisco Systems Inc."	"Delft Free Wifi"	-72	65		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E5:E1	"Cisco Systems Inc."	"TUvisitor"	-71	65		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:BD:4D:A5	"Cisco Systems Inc."	"Delft Free Wifi"	-77	65		"Ch 6 [2.437 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:EF:50	"Cisco Systems Inc."	"eduroam"	-59	65		"Ch 6 [2.437 GHz]"	"3 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:2A:96	"Cisco Systems Inc."	"Guest Centre"	-67	75		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-017, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B8:EF:11	"Cisco Systems Inc."	"TUvisitor"	-71	75		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:2A:92	"Cisco Systems Inc."	"tudelft-dastud"	-68	75		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:EF:56	"Cisco Systems Inc."	"Guest Centre"	-63	75		"Ch 6 [2.437 GHz]"	"3 Stations, A-08-0-124, 3 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:2A:91	"Cisco Systems Inc."	"TUvisitor"	-68	75		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:2A:95	"Cisco Systems Inc."	"Delft Free Wifi"	-68	75		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:26	"Cisco Systems Inc."	"Guest Centre"	-66	85		"Ch 1 [2.412 GHz]"	"1 Station, A-08-0-197, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:20	"Cisco Systems Inc."	"eduroam"	-67	85		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:25	"Cisco Systems Inc."	"Delft Free Wifi"	-67	85		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:7B:41	"Cisco Systems Inc."	"TUvisitor"	-69	85		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:7B:46	"Cisco Systems Inc."	"Guest Centre"	-69	85		"Ch 6 [2.437 GHz]"	"0 Stations, A-08-0-198, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:EF:55	"Cisco Systems Inc."	"Delft Free Wifi"	-58	85		"Ch 6 [2.437 GHz]"	"3 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:21	"Cisco Systems Inc."	"TUvisitor"	-67	85		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E7:75	"Cisco Systems Inc."	"Delft Free Wifi"	-60	95		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E7:71	"Cisco Systems Inc."	"TUvisitor"	-59	95		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:22	"Cisco Systems Inc."	"tudelft-dastud"	-67	95		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:7B:40	"Cisco Systems Inc."	"eduroam"	-69	95		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:34:E7:70	"Cisco Systems Inc."	"eduroam"	-58	95		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:2A:90	"Cisco Systems Inc."	"eduroam"	-69	95		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:D6	"Cisco Systems Inc."	"Guest Centre"	-59	100		"Ch 11 [2.462 GHz]"	"1 Station, A-08-0-196, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:F2:12	"Cisco Systems Inc."	"tudelft-dastud"	-43	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:F2:15	"Cisco Systems Inc."	"Delft Free Wifi"	-43	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:D5	"Cisco Systems Inc."	"Delft Free Wifi"	-60	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:D1	"Cisco Systems Inc."	"TUvisitor"	-59	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:F2:11	"Cisco Systems Inc."	"TUvisitor"	-43	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:F2:16	"Cisco Systems Inc."	"Guest Centre"	-43	100		"Ch 11 [2.462 GHz]"	"1 Station, A-08-0-121, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:D2	"Cisco Systems Inc."	"tudelft-dastud"	-59	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:C7:F2:10	"Cisco Systems Inc."	"eduroam"	-43	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:3A:7D:21:46:D0	"Cisco Systems Inc."	"eduroam"	-60	100		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:3A:95	"Cisco Systems Inc."	"Delft Free Wifi"	-59	100		"Ch 6 [2.437 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:3A:96	"Cisco Systems Inc."	"Guest Centre"	-58	100		"Ch 6 [2.437 GHz]"	"1 Station, A-08-0-016, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:3A:91	"Cisco Systems Inc."	"TUvisitor"	-57	100		"Ch 6 [2.437 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:3A:92	"Cisco Systems Inc."	"tudelft-dastud"	-58	100		"Ch 6 [2.437 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	D2:EF:60:B0:5F:19	""	""	-58	100		"Ch 1 [2.412 GHz]"	""	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:26:82	"Cisco Systems Inc."	"tudelft-dastud"	-48	100		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:26:85	"Cisco Systems Inc."	"Delft Free Wifi"	-49	100		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:26:81	"Cisco Systems Inc."	"TUvisitor"	-47	100		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:26:86	"Cisco Systems Inc."	"Guest Centre"	-49	100		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-123, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:B9:26:80	"Cisco Systems Inc."	"eduroam"	-50	100		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:B9:1A:65	"Cisco Systems Inc."	"Delft Free Wifi"	-76	15		"Ch 11 [2.462 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:44:71:A5	"Cisco Systems Inc."	"Delft Free Wifi"	-74	25		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:34:EA:36	"Cisco Systems Inc."	"Guest Centre"	-80	25		"Ch 6 [2.437 GHz]"	"0 Stations, A-08-0-199, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AF:B0	"Cisco Systems Inc."	"eduroam"	-75	25		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AF:B5	"Cisco Systems Inc."	"Delft Free Wifi"	-71	25		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:44:71:A6	"Cisco Systems Inc."	"Guest Centre"	-79	25		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-122, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AC:D2	"Cisco Systems Inc."	"tudelft-dastud"	-73	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:C7:BB:76	"Cisco Systems Inc."	"Guest Centre"	-77	35		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-019, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AC:D1	"Cisco Systems Inc."	"TUvisitor"	-71	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:27:B6:40	"Cisco Systems Inc."	"eduroam"	-78	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AC:D0	"Cisco Systems Inc."	"eduroam"	-72	45		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:66:AC:D6	"Cisco Systems Inc."	"Guest Centre"	-72	45		"Ch 1 [2.412 GHz]"	"1 Station, A-08-0-036, 1 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:B4:DF:30	"Cisco Systems Inc."	"eduroam"	-76	45		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:44:70:75	"Cisco Systems Inc."	"Delft Free Wifi"	-73	45		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:61:F6:25	"Cisco Systems Inc."	"Delft Free Wifi"	-77	45		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:C7:BB:70	"Cisco Systems Inc."	"eduroam"	-76	45		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:61:F6:01	"Cisco Systems Inc."	"TUvisitor"	-75	45		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
